Goal;X;Y;C;shot_aerial_won;shot_open_goal;shot_deflected;Distance_(0.365, 10.291];Distance_(10.291, 14.058];Distance_(14.058, 18.305];Distance_(18.305, 23.672];Distance_(23.672, 74.472];Angle_(-0.001, 0.254];Angle_(0.254, 0.317];Angle_(0.317, 0.406];Angle_(0.406, 0.599];Angle_(0.599, 2.795];shot_type_Free Kick;shot_type_Open Play;shot_type_Penalty;shot_body_part_Head;shot_body_part_Left Foot;shot_body_part_Other;shot_body_part_Right Foot
0;13.833.333.333.333.300;39.375;10.625;0.0;0.0;0.0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1
0;1.916.666.666.666.660;33.75;16.25;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1
0;13.583.333.333.333.300;39.875;10.125;0.0;0.0;0.0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0
1;15.75;53.75;3.75;0.0;0.0;0.0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0
0;1.808.333.333.333.330;27.5;22.5;0.0;0.0;0.0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
0;6.833.333.333.333.320;61.875;11.875;0.0;0.0;0.0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0
0;31.666.666.666.666.700;63.25;13.25;0.0;0.0;0.0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1
1;5.666.666.666.666.670;55.125;5.125;0.0;0.0;0.0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0
0;16.5;33.125;16.875;0.0;0.0;0.0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0
0;1.658.333.333.333.330;38.75;11.25;0.0;0.0;0.0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1
0;7.333.333.333.333.320;4.212.500.000.000.000;7.874.999.999.999.990;0.0;0.0;0.0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0
0;7.75;31.5;18.5;0.0;0.0;0.0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1
0;6.583.333.333.333.320;4.650.000.000.000.000;3.499.999.999.999.990;0.0;0.0;0.0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0
0;13.333.333.333.333.300;75.375;25.375;0.0;0.0;0.0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1
0;10.333.333.333.333.300;5.087.500.000.000.000;0.8750000000000071;1.0;0.0;0.0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0
0;15.916.666.666.666.600;30.25;19.75;0.0;0.0;0.0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0
0;8.166.666.666.666.670;63.625;13.625;0.0;0.0;0.0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1
0;17.5;64.0;14.0;0.0;0.0;0.0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0
